"cleaning_uuid","additional_task_id","status"
"bb1ace57-b01e-4cfc-ad52-d6e68143a49b",3,False
"a1cb74fa-5b37-4101-9bff-fcd168a3a195",3,False
"c6927bcc-d16b-47ba-940b-a00c740f7547",3,False
"f834d6ed-e072-4f0b-a721-053676b1da79",3,False
"45546963-b869-4467-8b70-f1240bd1461c",3,False
"cdfd1063-af22-4883-a936-1e0a888d716d",3,False
"c9e9f266-c15b-4b38-8dba-5c79a77a9f3a",3,False
"f13933eb-4052-477f-ad98-ea0323414fb4",3,False
"4801ac01-0d54-462f-b97e-a8318b6d0a9c",3,False
"8e6dd8ae-c482-4d7b-a2c0-a8a89c812d79",3,False
"85275f1a-4021-46d2-abf5-d919a5ef89f5",3,False
"ffd4afa8-ed49-4373-a698-6dfae595292f",3,False
"d735b99f-7d49-4df1-97db-d3687975e9e7",3,False
"022e9197-7843-4647-8536-2ab424c9fb03",3,False
"211af89c-f2b8-4db5-8f72-91d753949479",3,False
"df4a1341-2101-4b8e-b202-44f2dac94680",3,False
"89f72007-b419-45b3-800a-d25035f9a516",3,False
"e68bd0c4-0b68-44db-ada0-7e000c2e4809",3,False
"8c140d34-11dd-419a-9a20-8c12d289f650",3,False
"a916c679-7a17-454a-a3c3-f8b78d99e37b",3,False
"892b08f3-32ff-4a4c-a8b4-5df2172f61b0",3,False
"fbf409ff-b5ae-4504-a938-21cc49e96cd1",3,False
"0324b934-209a-474a-ac01-b10e31bce3d4",3,False
"72f85f0d-90e4-4267-b1f7-94c0d84ae90a",3,False
"42b64be5-2490-4506-8166-9f4ffbacba70",3,False
"2371e375-7f0e-41e0-8e0b-1dc5db4608e4",3,False
"de356902-16fe-4f4a-b8e7-59cde668edc6",3,False
"707eab2d-2b36-484b-9f2b-010812439737",3,False
"1de66e9e-1fdc-4441-85c7-6e8133f45c52",3,False
"4f7cbd7b-1208-4aaa-9193-b9631ec6a85f",3,False
"853719fd-51ed-40dd-8f8f-8f67f142ad90",3,False
"681f7461-5f50-4ab8-80a5-0fe55a9cfe26",3,False
"7a0d2a53-fb7a-471b-b9a4-3d25a724ffc4",3,False
"2aba76c8-ce90-4774-a8e7-d519be433255",3,False
"35b8fedf-5f91-453d-893a-005b3fc5595c",3,False
"58609db1-6f5b-4986-8715-deea59ddf687",3,False
"644b13b1-176f-4c6d-ac3e-c11f5580540f",3,False
"1ab9e658-b031-488b-9739-c100d30e1614",3,False
"d97555ac-7c3f-43d6-95a4-4084de62f663",3,False
"a2b85360-01f8-44c6-9782-592c161f9c70",3,False
"65a653f6-19a6-422d-a922-19176921e00f",3,False
"e17a96fd-d1b6-4f85-a011-51c2d6bbce4c",3,False
"117360e0-c0a2-417f-a7de-59bb94c3df6a",3,False
"e77d06dc-bf0c-4aad-b2ac-5aa9ff6466d7",3,False
"47fd50ca-da7c-4140-b0cc-29a10303c533",3,False
